"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Apr 08 18:50:23 CST 2023","Sat Apr 08 18:50:23 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"broken","Sat Apr 08 18:50:23 CST 2023","Sat Apr 08 18:50:23 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"broken","Sat Apr 08 18:50:17 CST 2023","Sat Apr 08 18:50:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[1]",""
"broken","Sat Apr 08 18:50:22 CST 2023","Sat Apr 08 18:50:22 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[2]",""
"broken","Sat Apr 08 18:50:22 CST 2023","Sat Apr 08 18:50:22 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[4]",""
"broken","Sat Apr 08 18:50:23 CST 2023","Sat Apr 08 18:50:23 CST 2023","0","cases","test_new_post","TestNewPost","","","test_new_post001",""
"broken","Sat Apr 08 18:50:23 CST 2023","Sat Apr 08 18:50:23 CST 2023","0","cases","test_homepage","TestCase001","","","test_002",""
"broken","Sat Apr 08 18:50:22 CST 2023","Sat Apr 08 18:50:22 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[3]",""
"broken","Sat Apr 08 18:50:23 CST 2023","Sat Apr 08 18:50:23 CST 2023","0","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"broken","Sat Apr 08 18:50:23 CST 2023","Sat Apr 08 18:50:23 CST 2023","0","cases","test_new_post","TestNewPost","","","test_newpost002",""
"broken","Sat Apr 08 18:50:22 CST 2023","Sat Apr 08 18:50:22 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[5]",""
