"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 17:30:35 CST 2023","Mon Apr 10 17:30:37 CST 2023","2557","cases","test_homepage","TestCase001","","","test_001[5]",""
"passed","Mon Apr 10 17:30:44 CST 2023","Mon Apr 10 17:30:46 CST 2023","1681","cases","test_new_post","TestNewPost","","","test_newpost002",""
"passed","Mon Apr 10 17:30:47 CST 2023","Mon Apr 10 17:30:54 CST 2023","7345","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"broken","Mon Apr 10 17:30:32 CST 2023","Mon Apr 10 17:30:35 CST 2023","2570","cases","test_homepage","TestCase001","","","test_001[4]",""
"failed","Mon Apr 10 17:30:37 CST 2023","Mon Apr 10 17:30:37 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"broken","Mon Apr 10 17:30:30 CST 2023","Mon Apr 10 17:30:32 CST 2023","2522","cases","test_homepage","TestCase001","","","test_001[3]",""
"passed","Mon Apr 10 17:30:38 CST 2023","Mon Apr 10 17:30:44 CST 2023","6155","cases","test_new_post","TestNewPost","","","test_new_post001",""
"failed","Mon Apr 10 17:30:37 CST 2023","Mon Apr 10 17:30:37 CST 2023","1","cases","test_homepage","TestCase001","","","test_002",""
"passed","Mon Apr 10 17:30:10 CST 2023","Mon Apr 10 17:30:27 CST 2023","17269","cases","test_homepage","TestCase001","","","test_001[1]",""
"skipped","Mon Apr 10 17:30:37 CST 2023","Mon Apr 10 17:30:37 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"broken","Mon Apr 10 17:30:27 CST 2023","Mon Apr 10 17:30:30 CST 2023","2577","cases","test_homepage","TestCase001","","","test_001[2]",""
