"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 10:25:27 CST 2023","Mon Apr 10 10:25:32 CST 2023","5664","cases","test_new_post","TestNewPost","","","test_new_post001",""
"broken","Mon Apr 10 10:25:18 CST 2023","Mon Apr 10 10:25:21 CST 2023","2539","cases","test_homepage","TestCase001","","","test_001[3]",""
"failed","Mon Apr 10 10:25:26 CST 2023","Mon Apr 10 10:25:26 CST 2023","4","cases","test_homepage","TestCase001","","","test_002",""
"passed","Mon Apr 10 10:24:54 CST 2023","Mon Apr 10 10:25:15 CST 2023","20851","cases","test_homepage","TestCase001","","","test_001[1]",""
"failed","Mon Apr 10 10:25:26 CST 2023","Mon Apr 10 10:25:26 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"skipped","Mon Apr 10 10:25:26 CST 2023","Mon Apr 10 10:25:26 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"broken","Mon Apr 10 10:25:21 CST 2023","Mon Apr 10 10:25:23 CST 2023","2509","cases","test_homepage","TestCase001","","","test_001[4]",""
"passed","Mon Apr 10 10:25:34 CST 2023","Mon Apr 10 10:25:41 CST 2023","6555","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"broken","Mon Apr 10 10:25:15 CST 2023","Mon Apr 10 10:25:18 CST 2023","2562","cases","test_homepage","TestCase001","","","test_001[2]",""
"passed","Mon Apr 10 10:25:32 CST 2023","Mon Apr 10 10:25:34 CST 2023","1537","cases","test_new_post","TestNewPost","","","test_newpost002",""
"broken","Mon Apr 10 10:25:23 CST 2023","Mon Apr 10 10:25:26 CST 2023","2536","cases","test_homepage","TestCase001","","","test_001[5]",""
