"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 10:22:43 CST 2023","Mon Apr 10 10:22:45 CST 2023","2568","cases","test_homepage","TestCase001","","","test_001[4]",""
"broken","Mon Apr 10 10:22:38 CST 2023","Mon Apr 10 10:22:40 CST 2023","2661","cases","test_homepage","TestCase001","","","test_001[2]",""
"skipped","Mon Apr 10 10:22:48 CST 2023","Mon Apr 10 10:22:48 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"failed","Mon Apr 10 10:22:48 CST 2023","Mon Apr 10 10:22:48 CST 2023","0","cases","test_homepage","TestCase001","","","test_002",""
"passed","Mon Apr 10 10:22:26 CST 2023","Mon Apr 10 10:22:38 CST 2023","11143","cases","test_homepage","TestCase001","","","test_001[1]",""
"failed","Mon Apr 10 10:22:48 CST 2023","Mon Apr 10 10:22:48 CST 2023","1","cases","test_homepage","TestCase001","","","test004",""
"passed","Mon Apr 10 10:22:57 CST 2023","Mon Apr 10 10:23:04 CST 2023","6488","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"passed","Mon Apr 10 10:22:49 CST 2023","Mon Apr 10 10:22:55 CST 2023","5679","cases","test_new_post","TestNewPost","","","test_new_post001",""
"passed","Mon Apr 10 10:22:55 CST 2023","Mon Apr 10 10:22:57 CST 2023","1942","cases","test_new_post","TestNewPost","","","test_newpost002",""
"broken","Mon Apr 10 10:22:46 CST 2023","Mon Apr 10 10:22:48 CST 2023","2533","cases","test_homepage","TestCase001","","","test_001[5]",""
"broken","Mon Apr 10 10:22:40 CST 2023","Mon Apr 10 10:22:43 CST 2023","2530","cases","test_homepage","TestCase001","","","test_001[3]",""
