"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 10:20:35 CST 2023","Tue Apr 11 10:20:38 CST 2023","2548","cases","test_homepage","TestCase001","","","test_001[4]",""
"failed","Tue Apr 11 10:20:40 CST 2023","Tue Apr 11 10:20:40 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"passed","Tue Apr 11 10:20:24 CST 2023","Tue Apr 11 10:20:30 CST 2023","5802","cases","test_homepage","TestCase001","","","test_001[1]",""
"failed","Tue Apr 11 10:20:40 CST 2023","Tue Apr 11 10:20:40 CST 2023","0","cases","test_homepage","TestCase001","","","test_002",""
"broken","Tue Apr 11 10:20:33 CST 2023","Tue Apr 11 10:20:35 CST 2023","2516","cases","test_homepage","TestCase001","","","test_001[3]",""
"skipped","Tue Apr 11 10:20:40 CST 2023","Tue Apr 11 10:20:40 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"passed","Tue Apr 11 10:20:46 CST 2023","Tue Apr 11 10:20:48 CST 2023","1947","cases","test_new_post","TestNewPost","","","test_newpost002",""
"broken","Tue Apr 11 10:20:38 CST 2023","Tue Apr 11 10:20:40 CST 2023","2534","cases","test_homepage","TestCase001","","","test_001[5]",""
"passed","Tue Apr 11 10:20:41 CST 2023","Tue Apr 11 10:20:46 CST 2023","5090","cases","test_new_post","TestNewPost","","","test_new_post001",""
"passed","Tue Apr 11 10:20:48 CST 2023","Tue Apr 11 10:20:54 CST 2023","6479","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"broken","Tue Apr 11 10:20:30 CST 2023","Tue Apr 11 10:20:33 CST 2023","2548","cases","test_homepage","TestCase001","","","test_001[2]",""
