"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[2]",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_new_post","TestNewPost","","","test_new_post001",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[4]",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[5]",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[3]",""
"skipped","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"broken","Mon Apr 10 10:21:03 CST 2023","Mon Apr 10 10:21:03 CST 2023","0","cases","test_homepage","TestCase001","","","test_001[1]",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test_002",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"broken","Mon Apr 10 10:21:17 CST 2023","Mon Apr 10 10:21:17 CST 2023","0","cases","test_new_post","TestNewPost","","","test_newpost002",""
