"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 10:35:13 CST 2023","Tue Apr 11 10:35:19 CST 2023","6506","cases","test_post_reply","TestPostReply","","","test_post_reply001",""
"broken","Tue Apr 11 10:34:59 CST 2023","Tue Apr 11 10:35:01 CST 2023","2530","cases","test_homepage","TestCase001","","","test_001[3]",""
"skipped","Tue Apr 11 10:35:06 CST 2023","Tue Apr 11 10:35:06 CST 2023","0","cases","test_homepage","TestCase001","","","test_003",""
"broken","Tue Apr 11 10:34:56 CST 2023","Tue Apr 11 10:34:58 CST 2023","2532","cases","test_homepage","TestCase001","","","test_001[2]",""
"broken","Tue Apr 11 10:35:04 CST 2023","Tue Apr 11 10:35:06 CST 2023","2553","cases","test_homepage","TestCase001","","","test_001[5]",""
"broken","Tue Apr 11 10:35:01 CST 2023","Tue Apr 11 10:35:04 CST 2023","2524","cases","test_homepage","TestCase001","","","test_001[4]",""
"passed","Tue Apr 11 10:35:12 CST 2023","Tue Apr 11 10:35:13 CST 2023","1032","cases","test_new_post","TestNewPost","","","test_newpost002",""
"passed","Tue Apr 11 10:34:50 CST 2023","Tue Apr 11 10:34:56 CST 2023","5687","cases","test_homepage","TestCase001","","","test_001[1]",""
"failed","Tue Apr 11 10:35:06 CST 2023","Tue Apr 11 10:35:06 CST 2023","0","cases","test_homepage","TestCase001","","","test004",""
"passed","Tue Apr 11 10:35:06 CST 2023","Tue Apr 11 10:35:12 CST 2023","5168","cases","test_new_post","TestNewPost","","","test_new_post001",""
"failed","Tue Apr 11 10:35:06 CST 2023","Tue Apr 11 10:35:06 CST 2023","0","cases","test_homepage","TestCase001","","","test_002",""
