ERROR -2023-04-11 10:20:38,328 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
ERROR -2023-04-11 10:20:40,882 - base_page.py - base_page - wait_ele_visible - 35 -  无法找到xx元素
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,183 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:41,191 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d4a47756-af8d-49f0-8577-912398f3df64")>元素
INFO -2023-04-11 10:20:41,191 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d4a47756-af8d-49f0-8577-912398f3df64")>元素
INFO -2023-04-11 10:20:41,191 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d4a47756-af8d-49f0-8577-912398f3df64")>元素
INFO -2023-04-11 10:20:41,191 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d4a47756-af8d-49f0-8577-912398f3df64")>元素
INFO -2023-04-11 10:20:41,191 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="d4a47756-af8d-49f0-8577-912398f3df64")>元素
